Epoch, Loss, Time(s)
246, 1.077840, 93.64
247, 1.076964, 93.63
248, 1.077292, 93.70
249, 1.091476, 93.81
250, 1.079119, 93.82
251, 1.079796, 94.38
252, 1.079652, 94.97
253, 1.090786, 93.55
254, 1.085426, 94.40
255, 1.081125, 94.43
256, 1.078708, 94.60
257, 1.084754, 93.86
258, 1.080424, 94.24
259, 1.080057, 94.11
260, 1.079803, 94.71
261, 1.080464, 93.94
262, 1.076825, 93.81
263, 1.082934, 93.86
264, 1.083195, 94.62
265, 1.082155, 94.10
266, 1.079372, 94.52
267, 1.082656, 94.21
268, 1.079596, 93.56
269, 1.080544, 94.04
270, 1.082148, 93.85
271, 1.090729, 94.37
272, 1.089409, 94.28
273, 1.085602, 94.80
274, 1.080153, 94.22
275, 1.081487, 95.28
276, 1.081041, 94.01
277, 1.080968, 94.25
278, 1.078737, 94.42
279, 1.075530, 93.96
280, 1.079548, 94.26
281, 1.079632, 94.07
282, 1.086792, 94.33
283, 1.085011, 94.75
284, 1.082889, 93.94
285, 1.082800, 94.27
286, 1.077488, 94.42
287, 1.076098, 94.72
288, 1.080212, 94.09
289, 1.076794, 93.73
290, 1.081526, 94.98
291, 1.083882, 93.64
292, 1.087704, 93.76
293, 1.079768, 94.71
294, 1.077022, 94.98
295, 1.077709, 94.50
296, 1.077723, 94.29
297, 1.088315, 94.72
298, 1.080543, 94.60
299, 1.079927, 94.19
300, 1.076525, 94.60
